Solution ID,Orders,Order Items,Driver Violation,Commute Distance,Transport Machines,Transport Attachments,Machines,Workers,Attachments
359,145,1258,1199,473311.83,159925.13,15319.89,46,79,73
360,145,1258,1199,473337.45,165832.09,12466.03,46,79,69
361,145,1258,1199,473337.45,166085.22,12471.45,46,79,68
362,145,1258,1199,473354.84,160048.85,15658.0,46,79,69
363,145,1258,1199,473354.84,160063.34,15375.96,46,79,69
364,145,1258,1199,473396.79,162799.67,14706.38,46,79,67
365,145,1258,1199,473396.79,163289.84,14093.92,46,79,67
366,145,1258,1199,473420.71,164581.32,12647.38,46,79,66
367,145,1258,1199,473445.1,160062.04,14944.97,46,79,70
368,145,1258,1199,473503.26,160784.78,14723.0,46,79,72
369,145,1258,1199,473543.79,159750.83,15689.77,46,79,72
370,145,1258,1199,473603.94,165791.56,12697.08,46,79,63
371,145,1258,1199,473628.22,165370.03,12293.84,46,79,70
372,145,1258,1199,473639.93,165408.44,12697.08,46,79,63
373,145,1258,1199,473815.35,165410.98,12693.65,46,79,65
374,145,1258,1199,473833.95,160659.22,14633.25,46,79,73
375,145,1258,1199,473960.31,160048.85,15601.06,46,79,69
376,145,1258,1199,474094.32,164891.55,12445.21,46,79,67
377,145,1258,1199,474119.21,159386.63,14925.35,46,79,73
378,145,1258,1199,474158.3,159314.91,15092.33,46,79,72
379,145,1258,1199,474158.3,159668.09,15042.2,46,79,72
380,145,1258,1199,474170.52,165306.58,11952.29,46,79,70
381,145,1258,1199,474278.84,159926.74,15642.48,46,79,70
382,145,1258,1199,474285.64,158738.97,14982.66,46,79,73
383,145,1258,1199,474407.67,159847.67,15642.48,46,79,70
384,145,1258,1199,474690.03,158140.2,14982.66,46,79,73
385,145,1258,1199,476231.75,159720.66,15547.18,46,79,64
386,145,1258,1199,476231.75,159814.1,14969.28,46,79,65
387,145,1258,1199,476231.75,159814.1,15395.28,46,79,64
388,145,1258,1199,476699.08,159576.65,15547.18,46,79,64
389,145,1258,1199,476776.81,159362.5,16265.49,46,79,64
390,145,1258,1199,477088.16,160566.55,14332.34,46,79,62
391,145,1258,1199,477206.06,160030.38,15006.71,46,79,63
392,145,1258,1199,477562.18,162384.66,15298.81,46,79,59
393,145,1258,1199,477614.28,164752.38,13174.51,46,79,65
394,145,1258,1199,477614.28,164902.52,13023.73,46,79,64
395,145,1258,1199,477700.93,159813.47,15012.98,46,79,63
396,145,1258,1199,477706.1,158985.95,15622.14,46,79,66
397,145,1258,1199,477706.1,159166.2,15860.17,46,79,65
398,145,1258,1199,477706.1,159362.5,15854.68,46,79,65
399,145,1258,1199,477967.16,165397.5,12850.98,46,79,65
400,145,1258,1199,478074.66,159772.45,15014.11,46,79,62
401,145,1258,1199,478332.8,159167.43,15292.69,46,79,66
402,145,1258,1199,478353.18,160277.16,13962.46,46,79,63
403,145,1258,1199,478353.18,160277.16,14332.34,46,79,62
404,145,1258,1199,478598.61,158506.51,15292.69,46,79,66
405,145,1258,1199,478647.44,159772.45,15145.94,46,79,61
406,145,1258,1199,478657.95,163186.33,12798.5,46,79,61
407,145,1258,1199,478723.77,165643.43,12675.15,46,79,65
408,145,1258,1199,478723.77,166053.92,12499.01,46,79,65
409,145,1258,1199,478918.56,165846.19,12667.5,46,79,65
410,145,1258,1199,479135.46,162573.79,12798.5,46,79,62
411,145,1258,1199,479253.56,165691.46,12439.46,46,79,65
412,145,1258,1199,479547.95,160270.68,13962.46,46,79,63
413,145,1258,1199,479804.12,160245.96,13963.67,46,79,63
414,145,1258,1200,462392.63,163687.8,16488.77,46,79,72
415,145,1258,1200,463396.53,170387.14,16470.44,46,79,65
416,145,1258,1200,463734.0,169854.29,17185.14,46,79,66
417,145,1258,1200,463734.0,169854.29,17514.59,46,79,65
418,145,1258,1200,463926.98,169845.96,17237.05,46,79,66
419,145,1258,1200,464392.51,167445.2,17237.05,46,79,66
420,145,1258,1200,464854.01,166766.57,16868.96,46,79,64
421,145,1258,1200,464974.97,166809.93,17002.64,46,79,63
422,145,1258,1200,465098.67,166659.51,16868.96,46,79,64
423,145,1258,1200,465277.04,167282.11,14922.35,46,79,70
424,145,1258,1200,465293.47,167142.09,15623.57,46,79,67
425,145,1258,1200,465293.47,167142.09,15672.06,46,79,66
426,145,1258,1200,465450.71,168188.81,16554.66,46,79,64
427,145,1258,1200,465474.91,160493.65,16465.62,46,79,69
428,145,1258,1200,465504.15,160408.41,16124.29,46,79,69
429,145,1258,1200,465516.62,167505.27,16554.66,46,79,64
430,145,1258,1200,465574.21,166895.16,14984.71,46,79,70
431,145,1258,1200,465681.7,160242.53,15836.27,46,79,70
432,145,1258,1200,465728.46,168140.48,16267.21,46,79,64
433,145,1258,1200,465794.98,168227.11,16249.91,46,79,65
434,145,1258,1200,466325.97,160064.05,16224.25,46,79,70
435,145,1258,1200,466325.97,160064.05,16429.56,46,79,68
436,145,1258,1200,466609.38,167622.1,16249.91,46,79,65
