Time (s),Solutions
318.32999692591454,104.0
318.346006762988,104.0
318.36201660006145,104.0
318.37802643713496,104.0
318.3940362742084,104.0
318.4100461112819,104.0
318.4260559483553,105.0
318.44206578542884,105.0
318.4580756225023,105.0
318.47408545957575,105.0
318.49009529664926,105.0
318.5061051337227,105.0
318.52211497079617,105.0
318.5381248078696,105.0
318.55413464494313,104.0
318.5701444820166,104.0
318.58615431909004,104.0
318.60216415616355,104.0
318.618173993237,104.0
318.63418383031046,104.0
318.6501936673839,104.0
318.6662035044574,104.0
318.6822133415309,103.0
318.69822317860434,103.0
318.71423301567785,103.0
318.7302428527513,103.0
318.74625268982476,103.0
318.7622625268982,103.0
318.7782723639717,103.0
318.7942822010452,103.0
318.81029203811863,102.0
318.82630187519214,103.0
318.8423117122656,103.0
318.85832154933905,103.0
318.8743313864125,103.0
318.890341223486,103.0
318.9063510605595,103.0
318.9223608976329,103.0
318.93837073470644,103.0
318.9543805717799,104.0
318.97039040885335,104.0
318.9864002459268,104.0
319.0024100830003,104.0
319.01841992007377,104.0
319.0344297571472,105.0
319.0504395942207,104.0
319.0664494312942,104.0
319.08245926836764,104.0
319.0984691054411,104.0
319.1144789425146,104.0
319.13048877958806,103.0
319.1464986166615,103.0
319.162508453735,102.0
319.1785182908085,102.0
319.19452812788194,102.0
319.2105379649554,102.0
319.2265478020289,102.0
319.24255763910236,102.0
319.2585674761758,104.0
319.27457731324927,103.0
319.2905871503228,103.0
319.30659698739623,103.0
319.3226068244697,103.0
319.3386166615432,103.0
319.35462649861665,103.0
319.3706363356901,103.0
319.38664617276356,104.0
319.4026560098371,104.0
319.4186658469105,104.0
319.434675683984,104.0
319.4506855210575,103.0
319.46669535813095,103.0
319.4827051952044,103.0
319.49871503227786,103.0
319.51472486935137,103.0
319.5307347064248,103.0
319.5467445434983,103.0
319.5627543805718,104.0
319.57876421764524,104.0
319.5947740547187,104.0
319.61078389179215,104.0
319.62679372886566,104.0
319.6428035659391,104.0
319.6588134030126,104.0
319.6748232400861,104.0
319.69083307715954,104.0
319.706842914233,104.0
319.72285275130645,104.0
319.73886258837996,105.0
319.7548724254534,105.0
319.77088226252687,105.0
319.7868920996004,105.0
319.80290193667383,105.0
319.8189117737473,105.0
319.83492161082074,106.0
319.85093144789425,106.0
319.8669412849677,105.0
319.88295112204116,106.0
319.8989609591147,106.0
319.91497079618813,106.0
319.9309806332616,106.0
319.94699047033504,106.0
319.96300030740855,105.0
319.979010144482,105.0
319.99501998155546,105.0
320.01102981862897,105.0
320.0270396557024,105.0
320.0430494927759,106.0
320.05905932984933,107.0
320.07506916692284,107.0
320.0910790039963,107.0
320.10708884106975,107.0
320.12309867814326,107.0
320.1391085152167,106.0
320.1551183522902,107.0
320.1711281893636,107.0
320.18713802643714,107.0
320.2031478635106,107.0
320.21915770058405,108.0
320.23516753765756,108.0
320.251177374731,108.0
320.26718721180447,108.0
320.2831970488779,108.0
320.29920688595143,109.0
320.3152167230249,109.0
320.33122656009834,109.0
320.34723639717186,109.0
320.3632462342453,109.0
320.37925607131876,109.0
320.3952659083922,109.0
320.41127574546573,109.0
320.4272855825392,109.0
320.44329541961264,110.0
320.4593052566861,110.0
320.4753150937596,110.0
320.49132493083306,110.0
320.5073347679065,111.0
320.52334460498,110.0
320.5393544420535,110.0
320.55536427912693,110.0
320.5713741162004,110.0
320.5873839532739,110.0
320.60339379034735,110.0
320.6194036274208,110.0
320.6354134644943,110.0
320.6514233015678,110.0
320.66743313864123,110.0
320.6834429757147,110.0
320.6994528127882,110.0
320.71546264986165,111.0
320.7314724869351,111.0
320.7474823240086,112.0
320.76349216108207,112.0
320.7795019981555,112.0
320.795511835229,112.0
320.8115216723025,112.0
320.82753150937594,112.0
320.8435413464494,110.0
320.8595511835229,110.0
320.87556102059636,110.0
320.8915708576698,109.0
320.9075806947433,109.0
320.9235905318168,109.0
320.93960036889024,109.0
320.9556102059637,109.0
320.9716200430372,109.0
320.98762988011066,109.0
321.0036397171841,110.0
321.01964955425757,110.0
321.0356593913311,110.0
321.05166922840453,110.0
321.067679065478,110.0
321.0836889025515,110.0
321.09969873962496,110.0
321.1157085766984,110.0
321.13171841377186,111.0
321.1477282508454,111.0
321.16373808791883,111.0
321.1797479249923,111.0
321.1957577620658,111.0
321.21176759913925,111.0
321.2277774362127,111.0
321.24378727328616,111.0
321.25979711035967,111.0
321.2758069474331,111.0
321.2918167845066,111.0
321.3078266215801,111.0
321.32383645865355,111.0
321.339846295727,112.0
321.35585613280045,112.0
321.37186596987397,112.0
321.3878758069474,112.0
321.4038856440209,112.0
321.4198954810944,112.0
321.43590531816784,112.0
321.4519151552413,113.0
321.46792499231475,113.0
321.48393482938826,113.0
321.4999446664617,113.0
321.51595450353517,114.0
321.5319643406087,113.0
321.54797417768214,113.0
321.5639840147556,113.0
321.57999385182904,112.0
321.59600368890256,112.0
321.612013525976,112.0
321.62802336304946,112.0
321.644033200123,111.0
321.66004303719643,109.0
321.6760528742699,109.0
321.69206271134334,109.0
321.70807254841685,110.0
