         331435343 function calls in 78.368 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   864818    0.050    0.000    0.050    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:1183(possible_order_item_ids)
    30249    0.050    0.000    0.050    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/OutputData.py:16(__init__)
    30249    0.048    0.000    0.048    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:814(<listcomp>)
    30249    0.048    0.000    0.048    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:837(<listcomp>)
   299545    0.041    0.000    0.041    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/ImprovementAlgorithm.py:369(<genexpr>)
    62681    0.041    0.000    0.041    0.000 {method 'random' of 'numpy.random._generator.Generator' objects}
    19470    0.029    0.000    0.040    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2238(<listcomp>)
    17570    0.012    0.000    0.036    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:2085(EvaluateMove)
    48392    0.034    0.000    0.034    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3253(<listcomp>)
   518628    0.034    0.000    0.034    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:684(min_transport_distance)
    30249    0.033    0.000    0.033    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/EvaluationLogic.py:870(<listcomp>)
    48392    0.031    0.000    0.031    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3254(<listcomp>)
     3928    0.007    0.000    0.028    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:3321(constructCompleteRoutes)
    61617    0.026    0.000    0.026    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1731(<listcomp>)
   290310    0.026    0.000    0.026    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/InputData.py:636(workers)
    17570    0.022    0.000    0.026    0.000 /Users/niklas/Desktop/Diplomarbeit/OptRail_Railroad_Construction/Code/Neighborhood.py:1870(__init__)
   316800    0.025    0.000    0.025    0.000 {method 'clear' of 'list' objects}
